wahis_division,area_km2,chicken_density_mean_per_km2,chicken_density_max_per_km2,est_chicken_headcount
Barisal,9603.372799786111,3394.0881193693695,7810.4833984375,32594693.525629
Rajshahi,18600.682199903447,2769.2325949367087,8727.560546875,51509615.43603167
Rangpur,16637.575662392297,2512.2843601895734,4942.7021484375,41798321.12809885
Dhaka,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Khulna,21589.1400088255,1890.4388480392156,4125.92724609375,40812948.96844142
Chittagong,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Sylhet,12277.439480953743,1216.667943548387,2290.5,14937567.045331767
