division,period_start,new_outbreaks,temp_mean_c,humidity_mean_pct,precip_total_mm,area_km2,chicken_density_mean_per_km2,chicken_density_max_per_km2,est_chicken_headcount
Chittagong,2016-07-01,0.0,26.096902173913044,84.67315217391305,3874.39,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2017-01-01,0.0,24.755856353591163,80.5,2244.96,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2017-07-01,0.0,26.038858695652173,85.0520652173913,5129.89,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2018-01-01,0.0,24.56696132596685,80.02883977900552,2056.2,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2018-07-01,0.0,25.64684782608696,82.29847826086957,3026.71,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2019-01-01,0.0,25.3007182320442,73.40685082872928,994.4,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2019-07-01,0.0,25.90885869565217,84.20277173913043,4246.71,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2020-01-01,0.0,24.522582417582417,76.84516483516484,1569.32,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2020-07-01,0.0,26.08711956521739,84.92565217391304,2655.85,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2021-01-01,0.0,25.44060773480663,72.61839779005525,1130.58,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2021-07-01,0.0,25.920271739130435,84.92059782608695,2305.92,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2022-01-01,0.0,24.734475138121542,75.72243093922653,1261.88,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2022-07-01,0.0,26.049130434782608,83.13038043478261,1493.27,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2023-01-01,0.0,25.424475138121547,71.95779005524862,1030.87,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2023-07-01,0.0,26.284184782608698,83.68353260869566,2172.15,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2024-01-01,0.0,25.28697802197802,74.88131868131867,1289.57,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2024-07-01,0.0,26.177880434782605,84.21875,3008.01,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
