Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2019,Jul-Dec 2019,Asia,Bangladesh,"Khulna","Rabies virus (Inf. with)","not typed",Domestic,-,"Cattle",-,-,2,Animal,1,1,0,1,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Rajshahi","Lumpy skin disease virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2019,Jul-Dec 2019,Asia,Bangladesh,"Rajshahi","Lumpy skin disease virus (Inf. with)","",Domestic,-,"Cattle",-,-,205,Animal,60,0,0,0,-
2022,Jan-Jun 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"",-,6,-,-,-,-,-,-,-
2022,Jan-Jun 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Catla catla",-,-,89,Animal,61,11,42,8,0
2022,Jan-Jun 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Roho labeo
",-,-,78,Animal,58,7,40,11,0
2022,Jul-Dec 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Roho labeo
",-,-,113,Animal,62,7,49,6,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Mrigal carp
",-,-,46,Animal,25,3,20,2,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Catla catla",-,-,43,Animal,24,2,19,3,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Khulna","Acute hepatopancreatic necrosis disease (2016-)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Khulna","Acute hepatopancreatic necrosis disease (2016-)","",Domestic,-,"Giant tiger prawn or black tiger shrimp",-,-,92,Animal,1,1,-,-,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Both animal categories,-,"",-,5,-,-,-,-,-,-,-
2022,Jul-Dec 2022,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Domestic,-,"mud crab",-,-,872,Animal,39,39,0,0,0
2022,Jul-Dec 2022,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Domestic,-,"Giant tiger prawn or black tiger shrimp",-,-,22,Animal,8,4,0,4,0
2023,Jan-Jun 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2023,Jan-Jun 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Mrigal carp
",-,-,81,Animal,74,1,65,9,0
2023,Jan-Jun 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Catla catla",-,-,74,Animal,67,1,54,9,0
2023,Jan-Jun 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Roho labeo
",-,-,32,Animal,27,1,23,3,0
2023,Jan-Jun 2023,Asia,Bangladesh,"Khulna","Acute hepatopancreatic necrosis disease (2016-)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2023,Jan-Jun 2023,Asia,Bangladesh,"Khulna","Acute hepatopancreatic necrosis disease (2016-)","",Domestic,-,"Giant tiger prawn or black tiger shrimp",-,-,26,Animal,1,1,0,0,0
2023,Jan-Jun 2023,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2023,Jan-Jun 2023,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Domestic,-,"Giant tiger prawn or black tiger shrimp",-,-,1957,Animal,3,3,0,0,0
2023,Jan-Jun 2023,Asia,Bangladesh,"Khulna","White spot syndrome virus (Inf. with)","",Domestic,-,"mud crab",-,-,832,Animal,3,3,0,0,0
2023,Jul-Dec 2023,Asia,Bangladesh,"Chittagong","African swine fever virus (Inf. with)","",Domestic,-,"",-,1,-,-,-,-,-,-,-
2023,Jul-Dec 2023,Asia,Bangladesh,"Chittagong","African swine fever virus (Inf. with)","",Domestic,-,"Swine",-,-,414,Animal,414,0,0,414,0
2023,Jul-Dec 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Both animal categories,-,"",-,290,-,-,-,-,-,-,-
2023,Jul-Dec 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Roho labeo
",-,-,129,Animal,106,2,65,39,0
2023,Jul-Dec 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Catla catla",-,-,127,Animal,105,4,77,41,0
2023,Jul-Dec 2023,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Mrigal carp
",-,-,83,Animal,72,3,40,29,0
2024,Jan-Jun 2024,Asia,Bangladesh,"Chittagong","African swine fever virus (Inf. with)","",Domestic,-,"Swine",-,-,0,-,140,0,0,187,0
2024,Jul-Dec 2024,Asia,Bangladesh,"","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"",-,2,-,-,-,-,-,-,-
2024,Jul-Dec 2024,Asia,Bangladesh,"","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Cyprinidae (unidentified)",-,-,190,Animal,101,1,89,11,0
2025,Jan-Jun 2025,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Roho labeo
",-,-,187,Animal,154,0,137,17,0
2025,Jan-Jun 2025,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Mrigal carp
",-,-,128,Animal,107,0,92,15,0
2025,Jan-Jun 2025,Asia,Bangladesh,"Dhaka","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Catla catla",-,-,109,Animal,93,0,81,12,0
2025,Jan-Jun 2025,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5 (N untyped)",Domestic,-,"",-,1,-,-,-,-,-,-,-
2025,Jan-Jun 2025,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5 (N untyped)",Domestic,-,"Birds",-,-,3978,Animal,1900,2078,0,1900,0
2025,Jan-Jun 2025,Asia,Bangladesh,"Narayanganj Sadar","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,6453,"Serval",156706,1,2,Animal,2,-,-,2,-
2025,Jan-Jun 2025,Asia,Bangladesh,"Rajshahi","Anthrax","",Domestic,-,"",-,1,-,-,-,-,-,-,-
2025,Jan-Jun 2025,Asia,Bangladesh,"Rajshahi","Anthrax","",Domestic,-,"Cattle",-,-,1,Animal,1,-,1,0,20000
2025,Jul-Dec 2025,Asia,Bangladesh,"","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Roho labeo
",-,-,184,Animal,151,-,133,18,-
2025,Jul-Dec 2025,Asia,Bangladesh,"","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Catla
",-,-,107,Animal,91,-,81,10,-
2025,Jul-Dec 2025,Asia,Bangladesh,"","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","",Domestic,-,"Mrigal carp
",-,-,60,Animal,42,-,37,5,-
2025,Jul-Dec 2025,Asia,Bangladesh,"Rangpur","Contagious caprine pleuropneumonia","",Domestic,-,"",-,1,-,-,-,-,-,-,-
2025,Jul-Dec 2025,Asia,Bangladesh,"Rangpur","Contagious caprine pleuropneumonia","",Domestic,-,"Goats",-,-,46,Animal,15,-,2,13,-
2026,Jan-Jun 2026,Asia,Bangladesh,"Gurudaspur","Anthrax",-,Domestic,7391,"Cattle",184865,1,2,Animal,1,-,1,-,2600
