Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2008,Jan-Jun 2008,Asia,Bangladesh,"Sylhet","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,6808,Animal,1768,5040,0,1768,0
2008,Jul-Dec 2008,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2008,Jul-Dec 2008,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,8175,Animal,195,7980,0,195,0
2008,Jul-Dec 2008,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,5,-,-,-,-,-,-,-
2008,Jul-Dec 2008,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,2575,Animal,904,1671,0,904,0
2009,Jan-Jun 2009,Asia,Bangladesh,"Barisal","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Barisal","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1290,Animal,23,1267,0,23,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,8,-,-,-,-,-,-,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,17987,Animal,1386,16601,0,1386,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,11,-,-,-,-,-,-,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,23184,Animal,2189,21395,0,2189,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,10,-,-,-,-,-,-,-
2009,Jan-Jun 2009,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,3877,Animal,310,3567,0,310,-
2009,Jul-Dec 2009,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2009,Jul-Dec 2009,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,4000,Animal,53,3947,0,53,-
2010,Jan-Jun 2010,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,11,-,-,-,-,-,-,-
2010,Jan-Jun 2010,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,15730,Animal,5705,10025,0,5705,-
2010,Jan-Jun 2010,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,9,-,-,-,-,-,-,-
2010,Jan-Jun 2010,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,38078,Animal,4884,33194,0,4884,-
2010,Jan-Jun 2010,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,10,-,-,-,-,-,-,-
2010,Jan-Jun 2010,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,137851,Animal,7415,130436,0,7415,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Barisal","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,16,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Barisal","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,54674,Animal,8876,45798,0,8876,-
