badge;reportId;reportNumber;reportReference;reportTypeNumber;reportType;oieReference;newOutbreaks;totalOutbreaks;openOutbreaks;reportingDate;isLastReportUnchanged
"";12364;1;"";"FUR_1";"FUR";"FUR_25529";0;1;0;"26/12/2017";false
"";11085;0;"";"IN";"IN";"IN_23531";1;1;0;"11/04/2017";false
