term,coef,irr,std_err,p_value,ci_low,ci_high
Intercept,60.51858360163652,1.918169189120858e+26,16.272147665365495,0.00019989307782793418,28.62576022640263,92.41140697687041
C(division)[T.Chittagong],1.0704401955282485,2.916663119497093,0.8268301207855626,0.19544743224966765,-0.550117062544357,2.690997453600854
C(division)[T.Dhaka],1.5792036183669198,4.851090952755368,0.7759466109622621,0.04183113211542181,0.058376206954973364,3.100031029778866
C(division)[T.Khulna],-0.030774056612789074,0.9696946444187536,0.7367782186018782,0.9666833161393139,-1.4748328296660491,1.4132847164404712
C(division)[T.Rajshahi],0.1289365408082949,1.137617929560771,0.7078769637121661,0.8554686115878691,-1.2584768135531175,1.5163498951697074
C(division)[T.Rangpur],-4.536271357757326,0.010713278155347238,1.253279287272881,0.000295148259571025,-6.992653623382202,-2.079889092132451
C(division)[T.Sylhet],-3.4844549781528964,0.030670469950903927,1.253554982825487,0.005441606184651305,-5.941377597131577,-1.0275323591742156
temp_mean_c,-1.9171197953971115,0.14702982885651206,0.5502991532881657,0.0004943903500357621,-2.995686316564803,-0.8385532742294204
humidity_mean_pct,-0.13751192765998188,0.8715239546937645,0.042190652537525075,0.0011168811432779393,-0.22020408711777445,-0.0548197682021893
precip_per_100mm,-0.16445063862567963,0.8483596321081819,0.068482550273671,0.016334661115087155,-0.29867397073152846,-0.030227306519830827
alpha,6.3709563311518504,,1.2865559043917905,7.347471175800346e-07,3.849353094446584,8.892559567857116
